@relation train_auto_PartA

@attribute engine-power numeric
@attribute price numeric

@data
102000,13950
115000,17450
70000,17710
140000,23875
101000,16430
101000,16925
121000,20970
134000,21105
48000,5151
70000,6295
70000,6575
176000,5572
68000,6377
102000,7957
162000,6229
68000,6692
68000,7609
88000,8921
145000,12964
58000,6479
76000,6855
60000,5399
76000,6529
76000,7129
121000,7295
90000,7295
86000,7895
86000,9095
140000,8845
86000,10295
94000,12945
76000,10345
176000,36250
68000,5195
92000,6095
68000,6795
68000,6695
68000,7395
84000,8845
73000,8495
84000,10595
101000,10245
84000,11245
120000,18280
123000,29552
62000,31248
123000,38176
123000,41600
155000,42056
68000,5389
68000,6189
68000,6669
102000,7689
116000,9959
69000,8499
85000,6989
88000,8189
116000,9279
116000,9279
70000,5499
55000,7099
69000,6649
48000,6849
69000,7349
69000,7299
69000,7799
69000,7499
69000,7999
69000,8249
97000,8949
97000,9549
152000,13499
70000,14399
152000,13499
160000,17199
200000,19699
92000,18399
48000,11900
95000,13200
95000,15580
62000,16900
97000,16630
95000,17950
142000,18150
68000,5572
112000,7957
68000,6229
94000,6692
68000,7609
88000,8921
143000,22018
110000,11850
110000,12170
110000,15040
176000,15510
160000,18150
69000,18620
111000,5118
114000,7053
73000,7603
82000,7126
82000,7775
94000,9960
82000,9233
116000,11259
76000,7463
106000,10198
52000,8013
111000,11694
102000,5348
62000,6338
95000,6488
62000,6918
62000,7898
62000,8778
70000,6938
161000,7198
60000,7898
56000,7788
176000,7738
134000,8358
70000,9258
70000,8058
70000,8238
112000,9298
106000,9538
116000,8449
162000,9639
86000,9989
143000,11199
116000,11549
116000,17669
48000,8948
73000,10698
92000,9988
92000,10898
92000,11248
156000,16558
161000,15998
156000,15690
200000,7775
85000,7975
52000,7995
85000,8195
60000,8495
116000,9495
100000,9995
90000,9980
68000,12940
114000,13415
110000,15985
114000,16515
116000,18420
162000,18950
114000,16845
160000,19045
134000,21485
106000,22470
114000,22625
