@relation train_auto_PartA_base

@attribute engine-power numeric
@attribute price numeric

@data
1,13950
1,17450
1,17710
1,23875
1,16430
1,16925
1,20970
1,21105
1,5151
1,6295
1,6575
1,5572
1,6377
1,7957
1,6229
1,6692
1,7609
1,8921
1,12964
1,6479
1,6855
1,5399
1,6529
1,7129
1,7295
1,7295
1,7895
1,9095
1,8845
1,10295
1,12945
1,10345
1,36250
1,5195
1,6095
1,6795
1,6695
1,7395
1,8845
1,8495
1,10595
1,10245
1,11245
1,18280
1,29552
1,31248
1,38176
1,41600
1,42056
1,5389
1,6189
1,6669
1,7689
1,9959
1,8499
1,6989
1,8189
1,9279
1,9279
1,5499
1,7099
1,6649
1,6849
1,7349
1,7299
1,7799
1,7499
1,7999
1,8249
1,8949
1,9549
1,13499
1,14399
1,13499
1,17199
1,19699
1,18399
1,11900
1,13200
1,15580
1,16900
1,16630
1,17950
1,18150
1,5572
1,7957
1,6229
1,6692
1,7609
1,8921
1,22018
1,11850
1,12170
1,15040
1,15510
1,18150
1,18620
1,5118
1,7053
1,7603
1,7126
1,7775
1,9960
1,9233
1,11259
1,7463
1,10198
1,8013
1,11694
1,5348
1,6338
1,6488
1,6918
1,7898
1,8778
1,6938
1,7198
1,7898
1,7788
1,7738
1,8358
1,9258
1,8058
1,8238
1,9298
1,9538
1,8449
1,9639
1,9989
1,11199
1,11549
1,17669
1,8948
1,10698
1,9988
1,10898
1,11248
1,16558
1,15998
1,15690
1,7775
1,7975
1,7995
1,8195
1,8495
1,9495
1,9995
1,9980
1,12940
1,13415
1,15985
1,16515
1,18420
1,18950
1,16845
1,19045
1,21485
1,22470
1,22625
