@relation train_auto_PartB_numeric

@attribute normalized-losses numeric
@attribute wheel-base numeric
@attribute length numeric
@attribute width numeric
@attribute height numeric
@attribute engine-size numeric
@attribute bore numeric
@attribute stroke numeric
@attribute compression-ratio numeric
@attribute engine-power numeric
@attribute peak-rpm numeric
@attribute city-mpg numeric
@attribute highway-mpg numeric
@attribute mean-effective-pressure numeric
@attribute torque numeric
@attribute price numeric

@data
164,99.8,176.6,66.2,54.3,8.85,3.19,3.4,10,102000,5500,24,30,40.52,57.68,13950
110,99.4,162.4,66.4,54.3,15.18,3.19,3.4,8,115000,5500,18,22,47.39,59.59,17450
158,105.8,192.7,71.4,51.6,15.18,3.94,2.8,8.5,70000,4400,28,30,0.85,3344.79,17710
106,86.6,158.7,67.7,55.9,13.74,3.13,3.5,7.8,140000,5600,32,20,44.74,68.97,23875
192,101.2,176.8,64.8,54.3,8.67,3.5,2.8,8.8,101000,5800,23,29,44.78,53.48,16430
194,110,190.9,71.4,58.7,8.67,3.78,3.9,22.5,101000,6000,47,53,1.8,1330.28,16925
188,101.2,176.8,64.8,54.3,26.58,3.31,3.19,9,121000,4250,21,28,7.19,377.06,20970
150,101.2,176.8,64.8,56.1,26.58,3.03,3.19,8,134000,4400,28,37,57.37,48.2,21105
121,88.4,141.1,60.3,53.2,3.39,3.03,3.03,9.5,48000,5300,47,53,59.33,25.08,5151
98,104.3,155.9,68.3,52,6.05,3.31,3.47,7.8,70000,5000,34,34,51.55,36.35,6295
93,94.5,158.8,63.6,52,6.05,3.03,3.11,9.6,70000,5400,38,43,65.57,29.11,6575
231,113,199.6,71.4,59.1,6.05,3.78,4.17,9.41,176000,6600,49,54,93.12,20.15,5572
118,93.7,174.6,63.8,49.4,6.05,2.97,3.23,21.5,68000,5500,31,38,12.28,152.8,6377
118,93.7,157.3,63.8,50.8,7.1,3.03,3.39,7.6,102000,5500,24,30,28.8,73.88,7957
197,110,192.7,71.4,58.7,6.05,3.78,3.9,22.5,162000,6000,47,53,47.53,41.38,6229
148,93.7,157.3,63.8,50.6,6.05,2.97,3.23,9.4,68000,5500,31,38,14.59,136.33,6692
148,93.7,157.3,63.8,50.6,6.05,2.97,3.23,9.4,68000,5500,31,38,4.07,488.77,7609
110,103.3,174.6,64.6,59.8,11.47,3.34,3.46,8.5,88000,5000,24,30,76.69,33.05,8921
118,95.9,173.2,66.3,50.2,22.65,3.6,3.9,7,145000,5000,19,24,24.17,116.32,12964
137,86.6,144.6,63.9,50.8,6.3,2.91,3.41,9.6,58000,4800,49,54,51.27,33.41,6479
103,98.4,202.6,63.9,50.8,6.3,2.91,3.41,9.2,76000,6000,31,38,78.82,23.08,6855
137,93.7,170.2,64,52.6,4.85,2.91,3.07,10.1,60000,5500,38,42,93.73,19.6,5399
101,93.7,150,64,52.6,6.3,2.91,3.41,9.2,76000,6000,30,34,30.2,64.24,6529
101,93.7,150,64,52.6,6.3,2.91,3.41,9.2,76000,6000,30,34,81.94,23.87,7129
87,96.5,163.4,68.8,55.9,6.3,2.54,2.07,9.5,121000,4150,37,39,26.27,76.51,7295
78,96.5,157.1,67.2,58.3,6.3,2.92,3.03,8,90000,5000,30,34,35.01,57.82,7295
106,96.5,167.5,65.2,53.3,9.03,3.15,3.58,9,86000,5800,27,33,69.86,32.01,7895
106,96.5,175.4,65.2,53.3,9.03,3.15,3.58,9,86000,5800,27,33,5.27,434.03,9095
118,102.4,175.4,68.4,56.2,9.03,3.46,3.4,10,140000,5800,17,42,68.07,33.85,8845
85,96.5,175.4,62.5,54.1,9.03,3.15,3.58,9,86000,5800,27,33,10.23,231.93,10295
107,97.2,169.1,65.5,53.5,9.03,3.24,3.16,8.7,94000,4900,25,30,52.66,46.81,12945
107,96.5,169.1,66,51,9.03,3.46,3.58,9.1,76000,5500,25,31,68.92,33.27,10345
145,113,199.6,69.6,52.8,174.16,3.63,4.17,8.1,176000,4750,15,19,54.97,73.97,36250
104,93.1,159.1,64.2,54.1,6.17,3.7,3.15,9,68000,5000,30,31,97.44,19.4,5195
154,97,157.3,63.9,51.4,6.17,2.99,2.8,7.8,92000,4800,18,23,70.72,26.87,6095
104,93.1,159.1,64.2,54.1,6.17,3.03,3.15,9,68000,5000,31,38,62.16,30.65,6795
113,93.1,166.8,64.2,54.1,6.17,3.03,3.15,9,68000,5000,31,38,54.81,35.49,6695
121,95.1,141.1,65.5,54.1,6.17,3.08,3.19,7.5,68000,5000,31,38,30.05,64.9,7395
93,98.8,177.8,62.5,53.7,11.47,3.39,3.39,8.6,84000,4800,26,32,13.71,173.94,8845
